tm_18_23948			['E2N', 'E2S', 'W2N', 'W2S', 'S2W', 'N2W', 'N2U', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2W', 'D2S', 'D2W']
tm_18_24165			['E2N', 'E2S', 'W2N', 'W2S', 'S2W', 'N2W', 'N2U', 'S2U', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2W', 'D2N', 'D2S', 'D2W']
tm_18_24183			['E2N', 'E2S', 'W2N', 'W2S', 'S2W', 'N2W', 'N2U', 'S2U', 'W2U', 'W2D', 'E2U', 'U2N', 'U2S', 'U2E', 'U2W', 'D2N', 'D2S', 'D2W']
tm_18_24207			['E2N', 'E2S', 'W2N', 'W2S', 'S2W', 'N2W', 'N2U', 'S2U', 'W2U', 'E2U', 'U2N', 'U2S', 'U2E', 'U2W', 'D2N', 'D2S', 'D2E', 'D2W']
tm_18_24344			['E2N', 'E2S', 'W2N', 'W2S', 'S2W', 'N2W', 'N2D', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2S', 'U2W', 'D2N', 'D2S', 'D2W']
tm_18_24595			['E2N', 'E2S', 'W2N', 'W2S', 'S2W', 'N2W', 'N2D', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2W', 'D2N', 'D2S', 'D2W']
tm_18_24625			['E2N', 'E2S', 'W2N', 'W2S', 'S2W', 'N2W', 'N2D', 'S2D', 'W2U', 'W2D', 'E2D', 'U2N', 'U2S', 'U2W', 'D2N', 'D2S', 'D2E', 'D2W']
tm_18_24648			['E2N', 'E2S', 'W2N', 'W2S', 'S2W', 'N2W', 'N2D', 'S2D', 'W2D', 'E2D', 'U2N', 'U2S', 'U2E', 'U2W', 'D2N', 'D2S', 'D2E', 'D2W']
tm_18_24673			['E2N', 'E2S', 'W2N', 'W2S', 'S2W', 'N2W', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2W', 'D2N', 'D2S', 'D2W']
tm_18_33321			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2U', 'N2D', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2E', 'U2W']
tm_18_33324			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2U', 'N2D', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2E', 'D2E']
tm_18_33341			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2U', 'N2D', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2E', 'D2N', 'D2E']
tm_18_33363			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2U', 'N2D', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2S', 'U2E', 'D2S', 'D2E']
tm_18_33382			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2U', 'N2D', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2E', 'D2N', 'D2S', 'D2E']
tm_18_33390			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2U', 'N2D', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'D2N', 'D2S', 'D2E', 'D2W']
